QueueId,Name,QueueArn
c22528ff-eada-48fa-a693-04aba924a475,CommServiceOrders,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/c22528ff-eada-48fa-a693-04aba924a475
c7ae4794-0190-49b4-8ee1-9c647f978496,Dom_Eng_COL_Residential,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/c7ae4794-0190-49b4-8ee1-9c647f978496
cbb71a0d-cb40-4ab2-a8ee-8afa7c4a7089,fsaf332223,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/cbb71a0d-cb40-4ab2-a8ee-8afa7c4a7089
d08216cc-1410-4531-ad24-7576cf99ffdc,CallbackHandlingQueue,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/d08216cc-1410-4531-ad24-7576cf99ffdc
d3c3fec0-5c42-4419-872a-00fae870744c,Commercial,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/d3c3fec0-5c42-4419-872a-00fae870744c
dd59d1e9-4c6d-4e9d-81bf-63295e86d61b,UnusedQueue,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/dd59d1e9-4c6d-4e9d-81bf-63295e86d61b
e1d18288-4348-4d16-b6dd-cd6dd6e39783,dsdsdwwwww,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/e1d18288-4348-4d16-b6dd-cd6dd6e39783
e2da2c82-86ad-406f-b5cb-7e29eecf5d7c,ffffffffffffffffff33333333,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/e2da2c82-86ad-406f-b5cb-7e29eecf5d7c
e7c24113-eeb8-40b0-b85d-011af73be872,dasfasdf,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/e7c24113-eeb8-40b0-b85d-011af73be872
ec1f326d-5010-49c9-959d-2f869a2c2b3c,NymanTurkish_ExistingCustomer,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/ec1f326d-5010-49c9-959d-2f869a2c2b3c
f2e92469-dda4-4776-b255-9f8250946ece,Crisis Line,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/f2e92469-dda4-4776-b255-9f8250946ece
f5740998-921b-4b36-bee3-f1f33911a433,Dom_Eng_CS_Commercial,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/f5740998-921b-4b36-bee3-f1f33911a433
f8966101-54c9-4805-a693-037cf17f103c,ddddddddddddddd,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/f8966101-54c9-4805-a693-037cf17f103c
